catalogNumber,recordedBy,scientificName,family,institutionCode,continent,country,stateProvince,county,municipality,locality
TULV17802,"A. Castaño N, W. Devia",Achatocarpus nigricans Triana,ACHATOCARPACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Obando,San Isidro,"Obando Via San Isidro, finca Cristales"
TULV17938,A. Castaño N.,Saurauia,ACTINIDIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 12, Bosque Bernal."
TULV17964,A. Castaño N.,Spondias,ANACARDIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 41, Bosque Bernal."
TULV7500,"W. Devia, R. Bernal, F. Prado",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, vía Canalete-Malaga, frente a Cartón Colombia."
TULV7519,"W. Devia, R. Bernal, F. Prado",Xylopia,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, vía Canalete-Málaga, frente a Cartón Colombia."
TULV7520,"W. Devia, R. Bernal, F. Prado",Xylopia,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, vía Canalete-Málaga, frente a Cartón Colombia."
TULV7532,"W. Devia, F. Prado",Crematosperma,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, via Canalete-Malaga, frente a Cartón Colombia."
TULV7653,W. Devia,Annona,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,Monteloro,"Corregimiento Monteloro, Hacienda Piedritas, vía a Jicaramata."
TULV7656,W. Devia,Annona,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Sin especificar,Reserva Natural SW de Buga.
TULV7662,W. Devia,Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Sin especificar,Reserva Natural SW de Buga.
TULV7720,"W. Devia, R. Bernal, E. Linares",Pseudoxandra,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Bajo Calima,"Corregimiento Bajo Calima, Cartón Colombia, Km. 22 vía a Málaga, frente Hans."
TULV7751,"W. Devia, R. Bernal, E. Linares",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Bajo Calima,"Corregimiento Bajo Calima, Cartón Colombia, Km. 22 vía a Malaga, frente Hans."
TULV7834,D. Sanchez,Annona reticulata L.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Antioquia,Frontino,Sin especificar,Sin especificar
TULV8578,T. B. Croat,Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Sin especificar,"Cordillera Occidental, eastern slopes, along highway between Dapa and Loboguerrero at Parque Yotoco."
TULV8733,T. B. Croat,Annona,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,Monteloro,"Along road between Tulua and Sta. Lucia (via La Marina, La Moralia, Venus and Monteloro) SE of Tulua, at Hda. Piedritas,"
TULV8829,W. Devia,Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Nariño,Tumaco,Sin especificar,Sin especificar
TULV8845,W. Devia,Rollinia,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Nariño,Barbacoas,Junín,Vía Barbacoas-Junín.
