#,Nombre,Número de Catálogo,Colector(es),Reino,Phylum,Clase,Orden,Familia,Género,País,Departamento,Municipio,Localidad,Latitud,Longitud
1,Achatocarpus nigricans Triana,TULV17802,"A. Castaño N, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,Colombia,Valle del Cauca,Obando,"Obando Via San Isidro, finca Cristales","04°34'02.2""N","75°57'45.3""W"
2,Saurauia,TULV17938,A. Castaño N.,Plantae,Magnoliophyta,Magnoliopsida,Ericales,ACTINIDIACEAE,Saurauia,Colombia,Valle del Cauca,Bugalagrande,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 12, Bosque Bernal.",4.119762,-76.079869
3,Spondias,TULV17964,A. Castaño N.,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,ANACARDIACEAE,Spondias,Colombia,Valle del Cauca,Bugalagrande,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 41, Bosque Bernal.",4.119762,-76.079869
4,Unonopsis,TULV7500,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, vía Canalete-Malaga, frente a Cartón Colombia.","03°56'00''N","77°08'00''W"
5,Xylopia,TULV7519,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, vía Canalete-Málaga, frente a Cartón Colombia.","03°56'00''N","77°08'00''W"
6,Xylopia,TULV7520,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, vía Canalete-Málaga, frente a Cartón Colombia.","03°56'00''N","77°08'00''W"
7,Crematosperma,TULV7532,"W. Devia, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Crematosperma,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, via Canalete-Malaga, frente a Cartón Colombia.","03°56'00''N","77°08'00''W"
8,Annona,TULV7653,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Tuluá,"Corregimiento Monteloro, Hacienda Piedritas, vía a Jicaramata.","03°55'00''N","76°04'00''W"
9,Annona,TULV7656,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Yotoco,Reserva Natural SW de Buga.,"03°52'30''N","76°26'09''W"
10,Guatteria,TULV7662,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,Reserva Natural SW de Buga.,"03°52'30''N","76°26'09''W"
11,Pseudoxandra,TULV7720,"W. Devia, R. Bernal, E. Linares",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Cartón Colombia, Km. 22 vía a Málaga, frente Hans.","03°56'00''N","77°08'00''W"
